,gas,retention_time,peak_area,peak_height,correction_factor,file_name,sample_type,column,carrier
1,C02,3.958,30454.2222,2978.545,3.9002,data/GC_Data/Feb/20OCT22FID_TC_07.RES,p54m(-4C)30d_T2_0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CH4,3.140,118.3284,15.479,0.0043,data/GC_Data/Feb/30Sept22FID_TC_21.RES,0.5mL_NT-Core-Test,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
1,C02,3.983,957.6394,107.640,0.1226,data/GC_Data/Feb/30Sept22FID_TC_21.RES,0.5mL_NT-Core-Test,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CO,2.562,22202.9108,2866.406,0.8496,data/GC_Data/Feb/30Sept22FID_TC_09.RES,0.5ml_1pcMix,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
1,CH4,3.119,22263.2650,2720.867,0.8066,data/GC_Data/Feb/30Sept22FID_TC_09.RES,0.5ml_1pcMix,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
2,C02,3.949,22306.5707,2421.053,2.8568,data/GC_Data/Feb/30Sept22FID_TC_09.RES,0.5ml_1pcMix,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CH4,3.140,583.5253,69.173,0.0211,data/GC_Data/Feb/14OCT22FID_TC_06.RES,p54m(-4C)7d_T1_0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
1,C02,3.990,19928.9982,2091.093,2.5523,data/GC_Data/Feb/14OCT22FID_TC_06.RES,p54m(-4C)7d_T1_0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CH4,3.132,281.6576,35.208,0.0102,data/GC_Data/Feb/28OCT22FID_TC_19.RES,p35m(12C)30d_0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
1,C02,3.974,4352.5354,482.234,0.5574,data/GC_Data/Feb/28OCT22FID_TC_19.RES,p35m(12C)30d_0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
