sample#,batch,core,temp,inc_time_d,sample_id,mass_inc_g,inc_start_date,inc_end_date,GC_T1,GC_T2,GC_T3,GC_T4,saline_Ti,saline_Tf,frozen,decanted,lyophilized,mass_post_lyoph_g,extracted,deriv,FID,MS,IRMS
31,2,83m,4,30,p83m(4C)30d,83,28-Oct-22,27-Nov-22,28-Oct-22,5-Nov-22,12-Nov-22,27-Nov-22,28-Oct-22,27-Nov-22,27-Nov-22,3-Feb-23,,,,,,,
32,2,83m,4,180,p83m(4C)180d,,28-Oct-22,26-Apr-23,28-Oct-22,11-Jan-23,26-Feb-23,26-Apr-23,28-Oct-22,26-Apr-23,,,,,,,,,
33,2,83m,12,0,p83m(12C)0d,78,28-Oct-22,28-Oct-22,NA,NA,NA,NA,NA,NA,28-Oct-22,3-Feb-23,,,,,,,
34,2,83m,12,7,p83m(12C)7d,93,28-Oct-22,4-Nov-22,28-Oct-22,31-Oct-22,2-Nov-22,4-Nov-22,28-Oct-22,4-Nov-22,4-Nov-22,3-Feb-23,,,,,,,
35,2,83m,12,30,p83m(12C)30d,78,28-Oct-22,27-Nov-22,28-Oct-22,5-Nov-22,12-Nov-22,27-Nov-22,28-Oct-22,27-Nov-22,27-Nov-22,3-Feb-23,,,,,,,
36,2,83m,12,180,p83m(12C)180d,,28-Oct-22,26-Apr-23,28-Oct-22,11-Jan-23,26-Feb-23,26-Apr-23,28-Oct-22,26-Apr-23,,,,,,,,,
37,1,US,12,0,pUS(12C)0d,87,13-Oct-22,13-Oct-22,NA,NA,NA,NA,NA,NA,13-Oct-22,3-Feb-23,,,,,,,
38,1,US,12,7,pUS(12C)7d,90,13-Oct-22,20-Oct-22,13-Oct-22,16-Oct-22,18-Oct-22,20-Oct-22,13-Oct-22,20-Oct-22,20-Oct-22,3-Feb-23,,,,,,,
39,1,US,12,30,pUS(12C)30d,91,13-Oct-22,12-Nov-22,13-Oct-22,20-Oct-22,3-Nov-22,12-Nov-22,13-Oct-22,12-Nov-22,12-Nov-22,3-Feb-23,,,,,,,
40,1,US,12,180,pUS(12C)180d,97,13-Oct-22,11-Apr-23,13-Oct-22,1-Dec-22,11-Jan-23,11-Apr-23,13-Oct-22,11-Apr-23,,,,,,,,,
