,gas,retention_time,peak_area,peak_height,correction_factor,file_name,sample_type,column,carrier
2,C02,4.005,20917.3993,2258.671,2.6788,data/GC_Data/30Sept22FID_TC_04.RES,Blank,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CO,2.593,12269.0625,1772.013,0.4695,data/GC_Data/30Sept22FID_TC_12.RES,0.25ml_1pcMix,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
1,CH4,3.151,12279.5664,1631.763,0.4449,data/GC_Data/30Sept22FID_TC_12.RES,0.25ml_1pcMix,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
2,C02,3.985,12305.2613,1414.461,1.5759,data/GC_Data/30Sept22FID_TC_12.RES,0.25ml_1pcMix,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CO,2.598,23849.0528,2843.23,0.9126,data/GC_Data/30Sept22FID_TC_06.RES,Blank,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
1,CH4,3.157,23922.8183,2739.129,0.8668,data/GC_Data/30Sept22FID_TC_06.RES,Blank,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
2,C02,3.992,23957.0507,2476.528,3.0681,data/GC_Data/30Sept22FID_TC_06.RES,Blank,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CO,2.604,47290.7214,4920.76,1.8097,data/GC_Data/30Sept22FID_TC_07.RES,1ml_1pcMix,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
1,CH4,3.16,47660.8524,4903.696,1.7269,data/GC_Data/30Sept22FID_TC_07.RES,1ml_1pcMix,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
2,C02,3.986,48002.0869,4554.827,6.1475,data/GC_Data/30Sept22FID_TC_07.RES,1ml_1pcMix,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CO,2.532,5354.5764,835.986,0.2049,data/GC_Data/30Sept22FID_TC_13.RES,0.25ml_1pcMix,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
1,CH4,3.09,5362.9406,752.337,0.1943,data/GC_Data/30Sept22FID_TC_13.RES,0.25ml_1pcMix,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
2,C02,3.925,5397.8998,647.583,0.6913,data/GC_Data/30Sept22FID_TC_13.RES,0.25ml_1pcMix,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
