""	"Blank1"	"Blank2"	"p35m.-4C.0d"	"p35m.-4C.180d"	"p35m.-4C.30d"	"p35m.-4C.7d"	"p35m.12C.0d"	"p35m.12C.180d"	"p35m.12C.30d"	"p35m.12C.7d"	"p35m.4C.0d"	"p35m.4C.180d"	"p35m.4C.30d"	"p35m.4C.7d"	"p54m.-4C.0d"	"p54m.-4C.180d"	"p54m.-4C.30d"	"p54m.-4C.7d"	"p54m.12C.0d"	"p54m.12C.180d"	"p54m.12C.30d"	"p54m.12C.7d"	"p54m.4C.0d"	"p54m.4C.180d"	"p54m.4C.30d"	"p54m.4C.7d"	"p83m.-4C.0d"	"p83m.-4C.180d"	"p83m.-4C.30d"	"p83m.-4C.7d"	"p83m.12C.0d"	"p83m.12C.180d"	"p83m.12C.30d"	"p83m.12C.7d"	"p83m.4C.0d"	"p83m.4C.180d"	"p83m.4C.30d"	"p83m.4C.7d"	"pUS.12C.0d"	"pUS.12C.180d"	"pUS.12C.30d"	"pUS.12C.7d"
"ASV_27"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1184	351	1962	1197	2255	0	1479	6792	7491	0	0	1842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_28"	0	0	798	301	723	504	733	127	601	571	727	70	438	736	266	1539	690	800	456	0	734	810	901	52	1335	468	1263	964	348	931	804	49	703	564	401	48	1857	671	51	50	118	53
"ASV_29"	0	0	2186	1763	2825	3153	2249	418	1273	1943	1329	215	2501	1858	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	44	129	29	499	277	115	0	217	0	0	0	0	0
"ASV_30"	0	0	268	621	240	283	1636	217	1372	1101	978	60	597	361	0	67	0	0	0	0	67	0	0	0	199	0	1847	2275	2588	2099	755	53	570	781	494	0	1527	1503	27	0	0	18
"ASV_31"	0	0	966	2181	1878	790	3155	349	2497	1853	2335	179	1864	1308	0	0	0	0	0	0	0	0	0	0	0	0	92	112	67	222	112	31	129	90	64	0	172	231	0	0	0	0
"ASV_32"	0	0	0	0	76	85	187	47	1346	510	197	0	0	0	967	5811	1954	341	612	0	182	76	0	72	2584	673	173	360	815	254	420	65	935	505	0	38	776	326	0	0	0	0
"ASV_33"	0	0	0	199	153	145	304	0	213	188	135	0	142	160	45	320	181	0	82	0	0	0	0	0	332	54	749	1547	487	1464	672	0	370	718	627	25	1498	1546	2254	2453	1746	1406
"ASV_34"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	271	47	59	0	0	0	0	0	0	78	106	2461	2574	2140	2208	1343	39	778	1689	1011	62	2136	2161	0	0	0	0
"ASV_35"	0	0	753	786	711	570	858	155	685	502	299	105	662	728	0	61	0	14	0	0	50	0	0	0	136	0	1341	1527	766	1830	736	28	478	667	872	44	1971	1369	0	0	0	0
"ASV_36"	0	0	384	220	221	481	413	67	286	349	333	54	272	377	0	85	63	0	0	0	51	0	0	0	114	0	2535	2749	954	2035	556	0	269	375	501	59	1804	2774	53	13	39	21
"ASV_37"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	33	225	457	1710	0	3115	6855	352	82	4852	192	0	0	0	0
"ASV_38"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2766	3154	696	2571	1207	31	212	547	1443	60	1801	3329	0	0	0	0
"ASV_39"	0	0	483	634	421	592	696	84	667	306	453	46	327	526	0	0	0	0	0	0	0	0	0	0	0	0	1151	1751	1031	1388	1089	89	1161	1209	630	83	1702	977	0	0	0	0
"ASV_40"	0	0	1063	1148	1366	1246	849	75	365	254	491	89	1444	1186	21	77	0	0	0	297	24	0	0	0	37	0	662	781	356	311	789	98	643	932	214	33	1317	231	124	111	117	83
"ASV_41"	0	0	543	0	0	173	146	0	558	214	129	0	0	92	93	752	324	117	66	0	92	0	0	0	297	158	109	859	0	1777	1557	0	1214	1692	953	0	4043	766	33	73	0	0
"ASV_42"	0	0	2920	1673	1363	1351	640	280	1945	1016	709	70	1289	1404	0	80	0	0	0	0	0	0	0	0	78	0	0	0	192	0	0	0	566	103	0	0	64	0	0	0	0	0
"ASV_43"	0	0	896	286	479	491	343	26	230	144	222	37	530	410	47	338	263	86	0	0	112	0	0	17	540	87	190	605	0	214	60	30	288	181	102	0	147	391	3502	1414	1401	1291
"ASV_44"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	99	11	0	0	4875	4234	3042	2897
"ASV_45"	0	0	1393	1484	1715	1255	1742	272	1167	1109	1397	171	1255	1526	0	0	0	119	0	0	0	0	0	0	0	0	0	0	0	0	0	18	231	145	0	17	64	0	0	0	0	0
"ASV_46"	0	0	0	0	0	35	0	0	58	101	21	0	0	40	0	0	0	0	0	0	26	51	0	0	0	0	0	0	0	0	0	0	186	0	99	0	0	0	4923	3263	3449	2822
"ASV_47"	0	0	5	0	0	23	0	0	17	0	0	4	0	0	0	898	689	74	30	40	1788	573	0	83	956	396	0	2	0	0	0	10	45	0	0	0	0	0	2642	1473	1529	3662
"ASV_48"	0	0	0	824	423	96	5153	306	359	1077	4106	181	1251	0	0	151	74	0	0	0	71	0	0	0	149	97	0	136	118	59	0	0	33	0	0	0	0	107	0	0	0	0
"ASV_49"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	25	0	0	16	0	0	36	0	86	0	0	0	4160	4124	3404	2647
"ASV_50"	0	0	374	706	675	358	465	65	424	188	442	85	690	396	0	0	0	18	0	0	0	0	0	0	0	0	244	275	0	536	563	156	1559	2257	0	0	1395	0	83	2258	193	0
"ASV_51"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	5953	3290	2314	2738
"ASV_52"	0	0	0	948	921	158	2065	0	711	915	1230	0	757	317	308	722	551	1126	515	0	615	544	87	0	612	551	71	0	0	0	0	0	0	0	0	0	0	0	194	119	142	118
"ASV_53"	0	0	248	313	414	196	554	101	657	655	380	57	445	364	0	104	0	0	0	0	0	0	0	0	160	25	1420	1612	243	1600	424	49	293	691	432	51	1271	1380	0	0	0	0
"ASV_54"	0	0	1162	1276	1310	745	1527	154	1375	779	1078	99	1227	931	0	0	0	0	0	0	0	0	0	0	0	0	0	154	326	284	103	0	157	313	128	0	227	165	0	0	0	0
"ASV_55"	0	0	1308	1098	845	1142	1671	224	1685	1145	1185	112	1151	953	0	0	0	0	0	0	0	0	0	0	0	0	151	210	0	116	44	0	0	82	0	0	99	154	0	23	0	0
"ASV_56"	0	0	1312	813	1408	668	2884	160	1480	946	1565	102	1072	937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_57"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	0	4184	1364	88	467	1164	2887	113	2312	500	0	0	0	0
"ASV_58"	0	0	1325	1206	1385	1443	1281	104	1135	589	1320	81	1203	1518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	226	124	0	0	0	0	0	0	0	0
"ASV_59"	0	0	949	1144	779	659	1544	138	828	1184	1184	119	908	873	0	0	0	0	0	0	0	0	0	0	0	0	104	156	0	265	429	0	313	464	147	0	622	59	0	0	0	0
"ASV_60"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	13	0	0	49	0	0	0	0	0	4323	3217	2693	2455
"ASV_61"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12761	0	0	0	0	0	0	0	0	0	0
"ASV_62"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	149	0	0	0	0	0	0	0	0	0	0	48	0	44	0	0	0	4449	3163	2267	2444
"ASV_63"	0	0	31	0	0	0	0	0	0	0	0	4460	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	7385	0	0	0	0	0	0	0	0	0	0
"ASV_64"	0	0	106	0	0	0	0	0	0	0	0	0	0	0	562	400	0	8349	324	0	306	436	403	0	517	287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_65"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	79	23	0	0	0	0	5588	2217	1462	2088
"ASV_66"	0	0	848	1061	956	611	1493	317	843	1185	1102	199	958	1119	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	69	45	0	125	103	0	0	123	145	0	0	0	0
"ASV_67"	0	0	413	168	240	299	333	89	267	266	533	0	299	329	173	351	253	218	164	19	958	1442	1085	0	311	336	211	340	124	258	248	18	287	329	106	30	674	150	0	31	24	0
"ASV_68"	0	0	362	502	424	1088	605	78	422	241	299	46	373	247	0	0	0	0	0	0	0	0	0	0	0	0	625	1333	534	640	610	16	269	574	291	0	819	646	0	0	0	0
"ASV_69"	0	0	0	67	0	72	48	0	83	91	34	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	17	19	0	81	0	18	0	0	0	2899	2972	2515	1742
"ASV_70"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	9015	0	0	0	0	0	0	0	0	0	59	0	1428	0	0	0	0	0	0	21	15	53	17
"ASV_71"	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	280	13	1776	1448	56	293	1236	1324	80	3496	600	0	0	0	0
"ASV_72"	0	0	899	458	443	476	1601	240	1831	954	1258	111	453	756	0	0	0	0	0	0	0	0	0	0	0	6	50	0	0	0	15	0	25	0	0	4	0	0	400	202	228	210
"ASV_73"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	199	385	687	477	794	0	429	1058	371	0	1846	140	1049	944	1328	737
"ASV_74"	0	0	915	309	443	303	1184	191	1157	1042	878	0	440	674	0	36	0	0	0	0	0	0	0	0	85	0	129	287	67	166	301	0	249	464	72	45	518	253	0	0	0	0
"ASV_75"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	425	314	67	73	0	212	142	0	0	728	177	932	1001	368	351	87	0	152	138	93	0	194	700	1262	1021	699	1003
"ASV_76"	0	0	577	199	506	361	333	50	91	111	285	53	309	393	359	316	121	320	440	0	98	172	160	34	146	290	83	111	199	305	290	169	1218	319	788	192	438	160	0	0	0	0
"ASV_77"	0	0	1042	755	962	914	1652	160	1127	769	933	70	673	707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	202	0	0	0	0	0	0	0	0	0	0	0	0	0
